 destination distance_m duration_s origin v_ave_kmph
114 SN16 107839.0 4844.0 B97 80.14459124690339
115 TS7 246838.0 9889.0 LE9 89.85911618970573
116 LE16 735664.0 33376.0 PA62 79.35014381591563
117 TQ4 292819.0 11358.0 B13 92.8110935023772
118 NN3 114427.0 4538.0 WV12 90.7750550903482
119 DY2 261526.0 9816.0 BH24 95.91418092909537
120 SK9 179114.0 8581.0 SY18 75.14396923435497
121 ML11 254962.0 10599.0 TS20 86.59903764506086
122 WD5 23983.0 1438.0 NW9 60.04089012517385
123 SP1 543925.0 21490.0 NE62 91.118194509074
124 SO31 189248.0 8127.0 NN1 83.83078626799558
125 SA10 718968.0 31066.0 PA20 83.31567630206658
126 KY4 448731.0 16022.0 BD5 100.82583947072777
127 B44 140536.0 6002.0 BS37 84.29350216594469
128 NP7 248614.0 9839.0 SO31 90.9655859335298
129 LL59 229168.0 8963.0 WV9 92.04560972888542
130 TQ14 816813.0 30385.0 PA24 96.77560638472929
131 BL9 237983.0 9372.0 NE40 91.41472471190781
132 GU3 112538.0 5022.0 BN8 80.67240143369177
133 N20 150939.0 6341.0 LE1 85.69317142406561
134 EH38 609793.0 25132.0 CF48 87.34898933630433
135 TS4 412345.0 16643.0 IP20 89.19317430751667
136 SA38 115373.0 5506.0 CF35 75.43458045768253
137 SO50 207023.0 8331.0 B29 89.45898451566437
138 GU52 501204.0 19066.0 NE7 94.6362320360852
139 BS24 203203.0 8039.0 SL0 90.99773603682051
140 OX1 285612.0 10303.0 PR25 99.79648646025429
141 B17 230197.0 9707.0 TA23 85.37232924693521
142 NE20 430170.0 19850.0 AB43 78.01571788413098
143 M3 290556.0 11361.0 NP16 92.06950092421442
144 NE20 658896.0 36120.0 KW15 65.6706976744186
145 BH2 424010.0 16482.0 LS2 92.61230433199854
146 RH11 196270.0 9519.0 BH19 74.22754491017966
147 WV11 145854.0 5722.0 CH60 91.76413841314226
148 EX19 140726.0 7078.0 DT9 71.57581237637751
149 OX10 191312.0 7952.0 CO4 86.61006036217304
150 HP6 217487.0 8250.0 TF11 94.90341818181818
151 NG17 700794.0 27426.0 IV8 91.98783635965871
152 SE6 379905.0 15854.0 SA34 86.2658004289138
153 NR8 325371.0 13432.0 ST5 87.2048540798094
154 DN22 243363.0 10340.0 SN7 84.72986460348163
155 BN22 25413.0 1627.0 BN7 56.230362630608475
156 B44 233347.0 9300.0 LL33 90.32787096774193
157 BH4 243831.0 9397.0 WR3 93.41189741406832
158 NE62 255968.0 11387.0 KA4 80.92428207605164
159 EH41 287305.0 18293.0 PA70 56.540643962171316
160 UB11 1091687.0 51436.0 HS5 76.4070534256163
161 KT12 72553.0 3705.0 EN2 70.49684210526316
162 HU12 244468.0 9845.0 CH3 89.39408836973081
163 BD17 425167.0 17350.0 PO5 88.21908933717579
164 PE27 209082.0 8196.0 TN29 91.83689604685213
165 EX36 326486.0 12316.0 SY1 95.4327379019162
166 LS15 700804.0 28412.0 IV26 88.79679008869492
167 YO22 366527.0 16126.0 LL47 81.82420935135806
168 TN1 422290.0 17315.0 BD23 87.79924920589086
169 IV19 1046243.0 40808.0 CT4 92.29746128210155
