 destination distance_m duration_s origin v_ave_kmph
0 509227 5245575.0 263788.0 756025 71.58805555976771
1 782001 1998253.0 123135.0 442605 58.42133268363991
2 609606 2675487.0 150063.0 783360 64.18473041322645
3 144601 6202190.0 316004.0 507167 70.65696636751434
4 400015 1964523.0 107448.0 722155 65.82051597051597
5 208001 982939.0 55371.0 767002 63.90674540824618
6 160106 4733676.0 231925.0 812006 73.47734655599871
7 383245 331149.0 18150.0 306401 65.68244628099174
8 516227 1258527.0 71457.0 394160 63.40452579873211
9 533126 1055548.0 53796.0 700001 70.63671648449699
10 388540 421115.0 25550.0 456665 59.335185909980424
11 382315 1899824.0 103215.0 757106 66.2632989391077
12 401606 579687.0 31625.0 452002 65.98808537549407
13 148101 955016.0 53862.0 488001 63.83085663361925
14 688561 3093787.0 174656.0 143505 63.76896986075487
15 301001 5513728.0 277562.0 209602 71.51346654080889
16 800008 60430.0 4157.0 801112 52.33293240317536
17 811307 1767970.0 100272.0 509353 63.47426998563907
18 576216 10671.0 815.0 388712 47.135705521472396
19 700023 5037640.0 252901.0 400021 71.70989438555006
20 576233 2399139.0 137090.0 144626 63.00168064774965
21 754202 1900227.0 102843.0 682021 66.51709110002625
22 560050 3117584.0 175343.0 785630 64.00770147653456
23 465230 402547.0 25016.0 391165 57.92969299648226
24 570006 374037.0 25548.0 625501 52.70601221230625
25 700004 928861.0 53730.0 491001 62.235242881072026
26 802161 2387010.0 132722.0 671314 64.74613101068401
27 700122 5027196.0 253072.0 577303 71.51287222608586
28 400014 6927174.0 346411.0 370615 71.98912967544331
29 573116 973430.0 50850.0 400002 68.9153982300885
30 759001 353768.0 19324.0 767039 65.905858000414
31 110024 5494379.0 277504.0 768102 71.27740284824723
32 400013 13395.0 1017.0 576275 47.41592920353983
33 124104 265057.0 16012.0 148021 59.59313015238571
34 570020 1742402.0 95460.0 756045 65.709692017599
35 423502 1739789.0 100068.0 815355 62.58984290682336
36 713301 1250126.0 74987.0 785672 60.01645085148093
37 741101 705767.0 37199.0 768106 68.30186832979379
38 521123 6225882.0 316290.0 176025 70.86273736128236
39 793122 2779584.0 167069.0 591239 59.89442924779583
40 815353 1749922.0 86273.0 184102 73.02075040858671
41 141001 7276237.0 372202.0 673027 70.37698131659691
42 700039 1475744.0 73021.0 251309 72.75548677777627
43 110010 5989252.0 292291.0 824303 73.76657919675941
44 456010 6118678.0 304986.0 304804 72.22377682910036
45 642113 158314.0 11103.0 676522 51.33120778168063
46 821307 5063032.0 251978.0 456006 72.3353435617395
47 576231 6203274.0 306994.0 331802 72.74339693935386
48 793002 2706782.0 154390.0 516130 63.115585206295755
49 679534 2082778.0 111323.0 756036 67.3535639535406
50 627762 5907219.0 298297.0 247001 71.29132508875384
51 305816 1512748.0 84231.0 508278 64.6542579335399
52 496551 1867312.0 104096.0 643231 64.57811251152782
53 416210 4966.0 628.0 440012 28.46751592356688
54 494670 1654055.0 97833.0 152114 60.86492287878322
55 628401 2909442.0 158966.0 248141 65.88824780141664
56 303105 2271945.0 110623.0 560001 73.93581804868789
57 678507 2846836.0 153247.0 151505 66.87641258882718
58 263680 2582943.0 146115.0 621212 63.63887896519864
59 854105 1630771.0 84789.0 151505 69.2398259208152
60 342037 685096.0 38608.0 144001 63.88172399502694
61 121001 587871.0 31393.0 471501 67.41425158474819
62 124108 2099207.0 102459.0 577001 73.75774895323984
63 410506 1945866.0 111124.0 712103 63.03874590547497
64 246163 2783148.0 159649.0 680514 62.7585064735764
65 826001 1255391.0 57715.0 124506 78.30559819804209
66 232103 800203.0 45698.0 755026 63.03844369556654
67 788706 5014908.0 253293.0 700044 71.27582996766591
68 531055 189088.0 11958.0 533247 56.92563973908681
69 628304 782580.0 40383.0 577522 69.76420771116558
70 560080 2124316.0 115536.0 110062 66.19181553801414
71 825402 2387886.0 128858.0 626188 66.7121141101057
72 814151 1277104.0 65695.0 262528 69.98362736890175
73 844118 4882160.0 241466.0 361002 72.78778792873531
74 222148 1536022.0 94684.0 522101 58.401411009251824
75 282008 1609673.0 96735.0 534005 59.90409675918747
76 794110 892866.0 55240.0 823001 58.188225923244026
77 151002 3104668.0 156368.0 683544 71.4775708584877
78 123412 5998140.0 294063.0 678641 73.43087705695719
79 248145 5880955.0 296828.0 400007 71.32560944385301
80 631004 1388899.0 79339.0 493344 63.02116739560621
81 473226 454546.0 31949.0 303806 51.218053773201035
82 759020 546016.0 32472.0 713381 60.53392461197339
83 802164 4990800.0 247388.0 110002 72.62631978915711
84 124507 824773.0 38132.0 221305 77.86590789887758
85 751004 1396804.0 75945.0 452001 66.21231680821647
86 450221 616689.0 41278.0 471408 53.78362323755996
87 110018 1805905.0 107911.0 533255 60.246480896294145
88 248171 2826777.0 148843.0 673513 68.3700086668503
89 700086 1475486.0 73589.0 263646 72.18129883542379
90 829210 2415975.0 137179.0 689543 63.40263451402911
91 190002 6791871.0 338287.0 363670 72.27808222012669
92 495334 1237061.0 78548.0 734301 56.69679177063706
93 580020 1958872.0 104987.0 700065 67.16964195567071
94 843320 1640212.0 97116.0 522002 60.80113678487583
95 174032 919780.0 49238.0 342306 67.24903529794061
96 208010 547312.0 26644.0 132115 73.94997748085872
97 768048 1520696.0 84753.0 306702 64.5936497823086
98 577156 7257319.0 370843.0 683102 70.45123785537275
99 360001 2302288.0 114850.0 700032 72.16575359164128
100 321001 531907.0 31138.0 141008 61.496088380756646
101 602026 6642523.0 335310.0 590003 71.31634248904
102 331023 1612260.0 77799.0 712149 74.60424941194617
103 560021 2065360.0 113940.0 804408 65.25624012638231
104 770034 5370607.0 270280.0 380013 71.53391001923931
105 700122 1992823.0 106133.0 611001 67.59596732401798
106 243639 1573096.0 80602.0 400010 70.26060891789287
107 457770 4168484.0 197932.0 781330 75.81665622537034
108 688561 3074744.0 170906.0 171011 64.76705557440933
109 394115 1630298.0 84649.0 180001 69.3342248579428
110 209739 2583818.0 144517.0 690527 64.36436405405593
111 574117 7283076.0 371209.0 509242 70.63156766134442
112 754023 2032651.0 101514.0 151104 72.08408298362787
113 686534 3560912.0 203043.0 784164 63.13580473101758
114 176103 1225068.0 71131.0 276138 62.001726392149706
115 636016 822668.0 40477.0 416007 73.16759641277763
116 143002 3326089.0 169981.0 686564 70.44269888987594
117 577117 7122622.0 361381.0 574131 70.95403244774904
118 689667 2636442.0 151601.0 202141 62.60638913991333
119 110062 5982050.0 292160.0 799108 73.71091182913473
120 387320 1591003.0 79236.0 635306 72.28546115402091
121 473249 927725.0 56128.0 171201 59.503456385404775
122 303303 1046338.0 65216.0 491881 57.75908979391561
123 609501 3047340.0 170873.0 782136 64.20220865789213
124 177111 1328278.0 80859.0 480001 59.137520869662005
125 471001 5624874.0 279236.0 575002 72.51767823633055
126 767016 704792.0 36239.0 700011 70.01438229531719
127 785682 2778937.0 163517.0 185135 61.181242317312574
128 160022 630161.0 37977.0 193501 59.735618927245426
129 825314 1353702.0 65974.0 341508 73.86739018401188
130 690512 152576.0 12750.0 685602 43.08028235294118
131 636140 2507680.0 132309.0 124514 68.23154887422625
132 472001 2146102.0 118659.0 685503 65.11067175688318
133 636007 1203955.0 66168.0 431203 65.50353645266593
134 788805 759988.0 50576.0 855106 54.095950648528955
135 125001 2836959.0 150700.0 682508 67.77075248838753
136 845301 4944777.0 246429.0 440029 72.23661663197106
137 172111 1993006.0 121086.0 503311 59.25393191615877
138 522403 809619.0 45731.0 444806 63.73419343552514
139 382405 1765432.0 87139.0 759107 72.93582896292132
140 400005 1508792.0 66851.0 175140 81.25011144186325
141 713140 1395538.0 72842.0 522001 68.97033030394553
142 472336 839966.0 50898.0 334001 59.410538724507845
143 585291 1809694.0 110544.0 845303 58.93488927485888
144 322219 2322544.0 132391.0 609607 63.15503621847407
145 322001 2368030.0 95683.0 132108 89.09532518838247
146 770037 1694405.0 90744.0 144530 67.2205104469717
147 751001 1115390.0 59774.0 502291 67.17643122427809
148 283202 5774990.0 283499.0 423501 73.33346502104064
149 700048 5035884.0 253129.0 821305 71.62032955528605
150 141008 885580.0 49725.0 229309 64.11438914027147
151 132036 1405355.0 72664.0 853205 69.62564681272707
152 341023 2517356.0 131120.0 612401 69.11593654667482
153 464776 1791027.0 97400.0 641034 66.19812320328542
154 678622 6857480.0 349115.0 560023 70.71288257450983
155 683545 1833442.0 104531.0 388620 63.1429068888655
156 474002 1931474.0 109243.0 604305 63.649903426306494
157 700061 1896433.0 99842.0 560058 68.37962781194287
158 494771 998997.0 60961.0 411030 58.99491806236775
159 821307 2318353.0 127583.0 671319 65.41679377346512
160 500038 1910131.0 109844.0 174307 62.6021594260952
161 843108 162513.0 10267.0 811311 56.98322781727865
162 711109 1941397.0 95534.0 176215 73.15750622814916
163 829149 2167412.0 117431.0 622102 66.44483313605436
164 686691 1696934.0 93075.0 760005 65.6348364222401
165 591254 768229.0 49352.0 522236 56.03875020262604
166 799045 4047344.0 196331.0 629175 74.21364124870755
167 759122 5520506.0 275778.0 799106 72.0645649761765
168 764070 1412058.0 86902.0 734101 58.49587811557847
169 605012 1511440.0 80065.0 755011 67.95958283894336
170 530019 6863189.0 349135.0 560051 70.76769845475245
171 700002 1630886.0 92811.0 431121 63.25963086272103
172 208001 853762.0 43280.0 142042 71.0153234750462
173 400020 4855707.0 238985.0 811104 73.14494717241669
174 110017 6664542.0 338371.0 631206 70.90545939220559
175 671531 2122862.0 123347.0 331022 61.95775495147835
176 582114 2035088.0 112184.0 160002 65.30625401126721
177 400002 6667346.0 342861.0 110025 70.00634542861393
178 176089 765246.0 45408.0 242001 60.6696088794926
179 228132 5224858.0 260986.0 180009 72.07087276712161
180 734434 4503345.0 217854.0 521340 74.417004048583
181 811308 4871614.0 239565.0 470775 73.20689750172188
182 263629 722414.0 44667.0 176204 58.22397743300423
183 515001 2278426.0 127473.0 144005 64.3456543738674
184 173206 644630.0 37085.0 474004 62.57699878657139
185 712201 444917.0 25270.0 803116 63.38350613375545
186 110055 1542379.0 78254.0 735132 70.95566233036011
187 700025 2014420.0 106555.0 400001 68.05792313828539
188 570020 1765974.0 92142.0 768048 68.99683531939831
189 600021 6207318.0 321425.0 505184 69.52273407482305
190 146001 1912410.0 111807.0 500024 61.576430813813076
191 673121 2447542.0 133784.0 110010 65.86102373975962
192 440001 5892253.0 301739.0 680668 70.29953304014397
193 503001 1256368.0 74793.0 277211 60.4725682884762
194 605011 1801365.0 99453.0 472001 65.20581581249435
195 452002 472989.0 33232.0 471311 51.23857727491576
196 110015 2450272.0 103707.0 621104 85.05673869652
197 249302 5870910.0 296595.0 152120 71.2597177969959
198 147001 2026910.0 117055.0 522007 62.33715774635855
199 572101 553104.0 31182.0 500003 63.85653261497017
200 825319 566198.0 29147.0 272192 69.93216454523622
201 403509 2110415.0 120323.0 712248 63.14249146048552
202 227809 1404343.0 81318.0 400010 62.171165055707206
203 248122 1024546.0 62824.0 482001 58.70949955431046
204 685515 2443763.0 134249.0 322034 65.53156299115822
205 500014 1458910.0 80411.0 722154 65.31539217271269
206 495677 911545.0 58000.0 326519 56.5786551724138
207 177110 1736715.0 86878.0 722155 71.96498538179978
208 110053 1620252.0 92392.0 763003 63.13216728721101
209 383250 1790208.0 96870.0 752102 66.52987302570455
210 110064 2782628.0 153870.0 695614 65.10340417235328
211 676552 2495204.0 141269.0 110033 63.58602665836101
212 802163 2358497.0 134301.0 673642 63.22059552795586
213 400055 1579786.0 83086.0 246762 68.44991454637363
214 854326 1286014.0 78322.0 440001 59.11047215341794
215 785690 1892569.0 112032.0 488441 60.81519922879178
216 394445 1818658.0 110478.0 854201 59.262195188182275
217 509334 1469484.0 85189.0 271310 62.098890701851175
218 262906 2008199.0 124417.0 799115 58.10714291455348
219 788101 6647062.0 339998.0 400070 70.38107047688517
220 311607 762195.0 32032.0 221001 85.66127622377624
221 400070 3130781.0 182146.0 792120 61.877897949996175
222 781328 1660379.0 90099.0 473660 66.34218359804217
223 400003 2781020.0 161822.0 782136 61.86842332933717
224 781001 2352248.0 134259.0 523253 63.07281299577682
225 413713 428541.0 25391.0 452009 60.759623488637715
226 457114 7298681.0 370274.0 627415 70.96164353964902
227 143504 1934995.0 95422.0 711408 73.00184443838947
228 143006 1419980.0 79754.0 842001 64.09619580209143
229 332705 548236.0 35111.0 177202 56.211717125687116
